肌肉无力,Muscle weakness|
呼吸困难,breathe hard|breathe with difficulty|dyspnea|dyspneic|lose one's breath|anhelation|Dp|dysp.|dyspnea|dyspneic respiration|dyspnoea|embarrassment|
拉肚子,loose stool|
神经肌肉症状,
厌食症,anorexy|fastidium|apositia|cibophobia|anorexia|
慢性乙型肝炎,
持续性咳嗽,
淋巴结肿大,enlargement of lymph nodes|lymphadenectasis|enlargement of lymph nodes|lymphadenectasis|
广泛性骨质疏松,
骨质疏松,osteoporosis|osteoporosis|bone rarefaction|osteoporosis|rarefaction of bone|
月经提前,
大动脉炎,aorto arteritis|aortoarteritis|aorto-arteritis|Takayasu's arteritis|
主动脉弓综合征,aortic arch syndrome|AAS|aortic arch syndrom|aortic arch syndrome|pulseless disease|reversed coarctation syndrome|Takayasu disease|Takayasu's disease|
纵隔阴影,
急性贫血,acute anemia|acute anemia|
贫血,anemia|hemopthisis|hyphemia|anaemia|anemia|hemophthisis|hypemia|hyphemia|hypoemia|hypohemia|
失血,blood loss|hemorrhage|hemorrhage--loss of blood|
下肢淋巴水肿,lymphatic edema of lower limb|lymphoedema of lower limb|lymphatic edema of lower limb|
呼吸困难,breathe hard|breathe with difficulty|dyspnea|dyspneic|lose one's breath|anhelation|Dp|dysp.|dyspnea|dyspneic respiration|dyspnoea|embarrassment|
屈光不正性弱视,ametropic amblyopia|
弱视,amblyopia|lazy eye|weak sight|amblyopia|dimsightedness|lazy eyes|visus hebetudo|weak sight|
结膜充血,conjunctival congestion|conjunctival congestion|conjunctival congestion|conjunctival injection|
脑梗塞,cerebral infarction|cerbral infarction|cerebral infarction|CI|
肝脏恶性血管瘤,
肝血管肉瘤,HAS|hepatic angiosarcoma|
黏液性水肿,myxedema|
面部水肿,
良性前列腺增生症,
前列腺肥大,prostatic hyperplasia|prostatic hypertrophy|PH|prostatauxe|prostatic hypertrophy|prostatomegaly|prostauxe|
亚急性皮肤红斑狼疮,
环状红斑,annular erythema|
急性贫血,acute anemia|acute anemia|
阻塞性黄疸,obstructive jaundice|obstructive jaundice|cholestatic jaundice|mechanical jaundice|obstructive icterus|obstructive jaundice|
静脉血栓,phlebothrombosis|
静脉血栓形成,phlebothrombosis|thrombosis of vein|venous thrombosis|
感觉障碍,sensory disturbance|sensory disturbance|sensory disability|sensory disturbance|
胃排空延缓,
氯沙坦,Losartan|
希恩综合征,Sheehan syndrome|
席汉综合征,Sheehan's syndrome|
腱鞘炎,tenosynovitis|peritendinitis|peritenonitis|tendinous synovitis|tendosynovitis|tendovaginitis|tenontolemmitis|tenontothecitis|tenosynitis|tenosynovitis|tenovaginitis|thecitis|vaginal synovitis|
内出血,concealed hemorrhage|concealedhemorrhage|internal hemorrhage|bleed|bleed inwardly|internal bleading|internal bleeding|internal haemorrhage|internal hemorrhage|entorrhagia|internal hemorrhage|
颅内出血,intracanial hemorrhage|intracranial hemorrhatage|ICH|intracranial hemorrhage|
睾酮,andrusol|F neohexane|neo-hombreol F|sustanon|teslen|testicular hormone|testosterone|Ts|virosterone|
睾丸素,testosterone|Ts|virosterone|
元气虚弱,
紫癜,pelioma|purpura|peliosis|purpura|Peliosis|Purpura|
排尿障碍,urinary dysfunction|
白细胞减少,aleukocytosis|leucocytopenia|leucopenia|leukocytopenia|leukopeni|leukopenia|leucopenia|aleucocytosis|hypolekocytosis|hypoleucocytosis|hypoleukemia|hypoleukia|hypoleukocytosis|leucocytopenia|leucopenia|leukopenia|oligoleukocythemia|oligoleukocytosis|
外膜,
外壁,exine|external wall|outer wall|ectotheca|exhymenine|exine|exospore|exosporium|extine|parietal wall|peridium|side wall|
睡眠呼吸暂停综合征,SAS|sleep apnea syndrome|
铁锈色痰,rusty sputum|resty expectoratio|rusty sputum|rusty expectoration|rusty sputum|
右束支传导阻滞,right bundle branch block|RBBB|right bundle branch block|
肾脏缩小,
肾萎缩,atrophy of kidney|renal atrophy|
耳聋,deafness|deafness|impaired hearing|deafness|epicophosis|
咽喉溃疡,
复发性口疮,recurrent aphtha|recurrent boils of the mouth|RA|recurrent aphtha|
肝昏迷,coma hepaticum|hepatic coma|hepaticcoma|hepatic coma|coma hepaticum|hepatic coma|
晕厥,apsychia|exanimation|faint|syncope|?swoon|apsychia|eclipsis|exanimation|faint|lipothymia|pale complexion and even syncope|swoon|apopsychia|apsychia|eclipsis|exanimation|faint|fainting|leipothymia|lipothymia|lipsis animi|shock|swoon|syncope|
肝脾肿大,hepatolienomegaly|hepatosplenomegaly|hepatosplenomegaly|splenohepatomegalia|hepatosplenomegaly|
脾肿大,splenomegalia|splenomegaly|splenomegalia|splenomegaly|enlarged spleen|splenomegaly|
尿潴留,retention of urine|uroschesis|retention of urine|uroschesis|retention of urine|urinary retention|uroschesis|
吐酸,acid regurgitation|acidregurgitation|regurgitation of acid|
泌尿系统感染,
遗尿,bed wetting|bedwetting|enuresis|bed wetting|enuresis|uracratia|anischuria|bed-wetting|enuresis|uracratia|urinary incontinence|uroclepsia|urorrhea|
关节积液,hydrops articuli|
腹鸣,borborygmus|bombus|borborygmus|bombus|
肠鸣,borborygmus|gurgling sound|rugitus|
完全性房室传导阻滞,complete atrioventricular block|Complete atrioventricular block|
眼底异常,
头痛,cephalalgia|cephalodynia|depression syndrome|headache|capitis dolor|cephalalgia|cephalea|cerebralgia|headache|angina capitis|cephalalgia|cephalea|cephalgia|cephalodynia|cerebralgia|dolor capitis|encephalalgia|H/A|HA|headache|myalgia capitis|
低颅压性头痛,
颞动脉炎,TA|temporal arteritis|
颅动脉炎,cranial arteritis|cranial arteritis|
心悸,cardio palmus|palpitation|palpitation of the heart|heart palpitation|palpitate|palpitation of the heart|cardiopalmus|palmus|palpitation|trepidatio cordis|
气短,short breath|shortbreath|shorthness of breath|shorthnessofbreath|be short of breath|breathe hard|short breath|shortness of breath|short breath|
白细胞减少,aleukocytosis|leucocytopenia|leucopenia|leukocytopenia|leukopeni|leukopenia|leucopenia|aleucocytosis|hypolekocytosis|hypoleucocytosis|hypoleukemia|hypoleukia|hypoleukocytosis|leucocytopenia|leucopenia|leukopenia|oligoleukocythemia|oligoleukocytosis|
白细胞减少症,leukopenia|leucopenia|cyto|cytopenia|leuco cyto penia|leuco(cyto)penia|leucopenia|leukopenia|leuco cytopenia|
颅内出血,intracanial hemorrhage|intracranial hemorrhatage|ICH|intracranial hemorrhage|
血栓形成,throm|thrombogenesis|thrombopoiesis|thrombosis|thrombosis|Throe|throm.|thromb.|thrombogenesis|thrombokinesis|thrombopoiesis|
静脉血栓,phlebothrombosis|
流行性乙型脑炎,dpidemic encephalitis b|epidemic type b encephalitis|japanese b encephalitis|dpidemic encephalitis b|encephalitis B,epidemic|epidemic type B encephalitis|ETBE|Japanese B encephalitis|
乙脑,Japanese B encephalitis|
易怒,irascibility|tantrum|
脊髓灰质炎,infantile paralysis|infantileparalysis|poliomyelitis|central myelitis|CN sign|cranial nerve sign||epidemic infantile paralysis|infantile paralysis|PM|polio|polio.|poliomyelitis|spodiomyelitis|tephromyelitis|
溺水,drowing|drowning|drowning|
呼吸道阻塞,Airway obstruction|
呼吸道梗阻,respiratory tract obstruction|
喉鸣声,
喉鸣,laryngeal stridor|laryngeal stridor|
异位妊娠,ectopic gestation|ectopic pregnancy|heterotopic pregnancy|heterotopic pregnancy|eccyesis|ectopic fetation|ectopic gestation|ectopic pregnancy|EP|extra-uterine pregnancy|heterotopic pregnancy|
宫外孕,ectopic pregnancy|exfetation|extrauterine pregnancy|eccyesisk|ectopic pregnancy|ectopic pregnancy|EP|EUP|extrauterine pregnancy|gestation,extra-uterine|GEU|metacyesis|
关节粘连,synarthrophysis|
三间,Sanjian|Three Intervals|
心肌缺血,myocardial ischemia|heart muscle ischemia|MI|myocardial ischemia|
心脏缺血,heart ischemia|
小眼球,microphthalmus|nanophthalmos|
小眼,microphthalmia|microphthalmus|microphthalmos|microphthalmus|nanophthalmia|
尿崩症,diabetes insipidus|diabetes insipidus|Di|diabetes insipidus|DIDMOAD|diabetes insipidus|
肾性尿崩症,nephrogenic diabetes insipidus|Renal diabetes insipidus|
肺外症状,
肺部阴影,
小产,miscarriage|miscarry|miscat\rriage|abprtion|have a miscarriage|minor labor|miscarry|miscat\rriage|Abor|abort|abortion|
咽喉不利,
传染性脓疱病,
口腔念珠菌感染,
先天性胆道闭锁,congenital atresia of biliary duct|congenital atresia of biliary duct|CBA|congenital biliary atresia|
胆道闭锁,biliary atresia|biliary atresia|
吊竹梅,
红斑样皮疹,
皮疹,efflorescence|eryption|erythra|pox|skin rash|eryption|pox|rash|skin rash|breakout|efflorescence|erythra|exanthem|skin rash|tetter|
犬吠样咳嗽,barking cough|
关节肿大,arthrocele|arthrocele|arthroncus|arthroncus|arthrophyma|
关节红肿,
拒食,food refusal|apastia|apositia|
阳痿,impotence|anandria|impotence|impotency|impotentia|
安慰剂,placebo|placebo|
假药,adulterant|ADT|adulterant|fake medicine|health fraud drug|quack medicine|quack remedy|
逆行性遗忘,retrograde amnesia|
遗忘症,amnesia|amnesia|amnestic disorder|
痔,hemorrhoid|pile|hemorrhoid|marisca|emerods|haemorrhoid|hem.|hemorrhoid|
痔疾,hemorrhoids|
三氧化二砷,arsenic bloom|arsenous oxide|arsenic trioxide|arsenic1|arsenous acid anhydride|arsenous oxide|diarsenic trioxide|white arsenic|
砒霜,white arsenic|whitearsenic|arsenic trioxide|white arsenic|arsenic trioxide|arsenicum sublimatum|arsenolite|diarsenic trioxide|white arsenic|
低血压,hypopiesia|hypotension|low blood pressure|hypopiesia|hypopiesis|hypotension|hypopiesia|hypotension|LBP|low blood pressure|
猝死型冠心病,
心性猝死,sudden cardiac death|
排便困难,difficult fecal discharge|Difficult defecation|
不典型胸痛,
体检,physical check-up|a phusical examination|physical check-up|physical examination|health examination|medical examination|
间歇热,intermittent fever|intermittent fever|anetus|intermittent fever|malarial,intermittent fever|
间断发热,
痔疾,hemorrhoids|
流感病毒,influenza virus|influenzavirus|influenza virus|Influenza virus|IV|
胸腔积液,pleural effussion|
胸膜渗出,pleural effussion|
呼吸困难,breathe hard|breathe with difficulty|dyspnea|dyspneic|lose one's breath|anhelation|Dp|dysp.|dyspnea|dyspneic respiration|dyspnoea|embarrassment|
左心衰竭,left ventricular failure|left ventricular failure|left heart failure|left-sided heart failure|LHF|LSHF|left heart failure|
肩痛,omalgia|shoulder pain|omalgia|shoulder pain|omalgia|shoulder pain|
肩关节疼痛,
菌血症,BACT|bacteremia|
前额头痛,
头痛,cephalalgia|cephalodynia|depression syndrome|headache|capitis dolor|cephalalgia|cephalea|cerebralgia|headache|angina capitis|cephalalgia|cephalea|cephalgia|cephalodynia|cerebralgia|dolor capitis|encephalalgia|H/A|HA|headache|myalgia capitis|
颌下腺肿大,
地方性甲状腺肿,endemic goiter|endemic goiter|
免疫血清,immune serum|immune serum|IMS|IS|ser.|
抗血清,antiserum|pl antisera|antiserum|antiserum|AS|
食管闭锁,esophageal atresia|atresia of oesophagus|atretolemia|esophageal atresia|
龋病,①caries②dental caries|
蛀牙,decayed teeth|
完骨,Head-Wangu|Whole Bone|
腕骨,carpal bone|ossa carpi|carpal|carpal bone|carpal bones|carpale|ossa carpi|the carpal bone|wangu|brachidium|carpal bone|carpale|ossa carpalia|ossa carpi|shelly loops|
胃粘膜脱垂,prolapse of gastric mucosa|prolapse of gastric mucosa|
牙痛,dental pain|dentalgia|odontalgia|toothache|ache,tooth|dent dolor dentium|dentagra|dentalgia|DOL|odontia|odontodynia|odontoneuralgia|tooth ache|toothache|
恶心与呕吐,N & V|nausea and vomiting|
前列腺硬结,
神疲乏力,general lassitude|listlessness|
排便障碍,dysporia|dysporia|
排便不尽感,
咽喉不利,
瘀斑,ecchymosi|petechia|ecchymosis|petechia|suggillation|
肌无力,amyasthenia|anyosthenia|myasthenia|myo asthenia|amyasthenia|amyosthenia|muscle weakness|myasthenia|myoasthenia|
血小板增多,polyplastocytosis|thrombocythemia|thrombocytosis|hyperthrombocytemia|thrombocythemia|thrombocytosis|
脑钙化,
脂溢性脱发,
脱发,alopecia|baldness|alopecia|baldness|coupage|depilate|falling off of the hair|falling off the hair|lipsotrichia|lose one's hair|phalacrosis|trichomadesis|alopecie|calvities|defluvium capillorum|lapsus pilorum|lipsotrichia|trichomadesis|
全蝎,scorpion|dried body of scorpion|scorpio|scorpion|
全虫,SCORPIO|
小儿湿疹,infantile eczema|
出疹,exthanthema|eruption|eruption|
腹部不适,epigastric discomfort|epigastric discomfrot|Abdominal discomfort|
上腹不适,epigastric discomfort|epigastric discomfort|
胀痛,distending pain|swollen pain swelling pain|distending pain|fullness pain|pain with marked distension|painful distension|gas pains|
扩张型心肌病,dilated cardiomyopathy|
充血性心肌病,congestive cardiomyopathy|CC|CCM|CM|COCM|congestive cardiomyopathy|congestive myocardiopathy|
气滞,
气短,short breath|shortbreath|shorthness of breath|shorthnessofbreath|be short of breath|breathe hard|short breath|shortness of breath|short breath|
厌食症,anorexy|fastidium|apositia|cibophobia|anorexia|
火麻,
恶心与呕吐,N & V|nausea and vomiting|
呕吐,emesis|voiting|vomiting|vomitus|disgorge|emessi|sichness|vomit|vomit the blood|vomiting|vomito|vomitus|disgorging|eE|emesia|emesis|emetische Erscheinung|heave|spew|vom|vomit|vomiting|vomito|vomitus|
皮肤瘀点,
心跳过速,
心动过速,pyknocardia|tachycardia|tachycardia|tachyrhythmia|pyknocardia|pyknosphygmia|sychnosphygmia|syncopexia|syncopexy|tach.|tachy.|tachycardia|tachyrhythmia|tachysystole|
碳酸钙,calcium carbonate|CaCO3|calcium carbonate|carbonica calcarea|
安非他明,amphetamine|phenylaminopropane|AMP|AMPH|amphet.|amphetamine|Crank|phenylaminopropane|
慢性粒细胞白血病,chronic granulocytic leukemia|chronicgranulocyticleukemia|chronic myelocytic leukemia|chronic granulocytic leukemia|CML|CGL|
慢粒,
腹痛,abdominal pain|abdomnalgia|cllic|abdominal pain|bellache|cllic|there is a pain in the abdomen|abdominal pain|bellyache|celialgia|celiodynia|coeliodynia|stomach-ache|
干燥症,xerosis|
中间葡萄膜炎,
周边葡萄膜炎,intermediate uveitis|peripheral uveitis|
腹壁静脉怒张,
静脉曲张,
慢性肺源性心脏病,Chronic cor pulmonale|
慢性肺原性心脏病,chronic cor pulmonale|chronic pulmonary heart disease|chronic pulmonary heart disease|
水香,
急性贫血,acute anemia|acute anemia|
臭鼻症,ozena|coryza foetida|fetor narium|ozaena|ozena|
花柳病,veneral disease syphilis|venereal disease|venerealdisease|venereal diseases|Vd|venereal disease|
神阙,shenque|umbilici|umbilicus|Navel|Shenjue|Shenque point|umbilicus|
气急,short breath|shortbreath|breath lessness|
结脑,
脑出血,cerebral hemorrhage|encephalorrhagia|cerebral hemorrhage|brain hemorrhage|cerebral hemorrhage|encephalorrhagia|hematencephalon|
脑溢血,cerebral hemorrhage encephalorrhagia|cerebral haemorrhage|encephalemia|cerebral hemorrhage|
产褥期乳腺炎,puerperal mastitis|puerperal mastitis|
食管腔狭窄,
食管狭窄,esophagostenosis|esophageal stenosis|esophageal stricture|esophagostenosis|laemostenosis|lemostenosis|oesophageal stricture|oesophagostenosis|
尿路感染,urinary tract infection|urinary tract infection|
泌尿系感染,urinary infection|urinary infection|urinary system infection|
至阳,the supreme yang|Bright Yang|Zhiyang|celestial qi|
肺底,base of lung|basis pulmonis|
三氯甲烷,chloroform|trichloromethane|chloroform|CHCl3|Chl|chloroform|trichlormethane|
反复呕血,
精神变态,psychopathia|psychopathy|psychopathia|psychopathy|metaphrenia|psychopathia|psychopathy|
胸膜钙化,pleural cacification|pleural calcification|PLC|pleural calcification|
血肿形成,
肺鼠疫,pneumonic plague|pneumonic plague|pestis pneumonica|pneumonic plague|
对称性肌无力,
灰指甲,
盐酸,hydrochloric acid|acid hydroc|acidum hydrochloricum|chlorhydric acid|hydrochloric acid|muriatic acid|
先天性风疹综合征,congenital rubella syndrome|crs|congenital rubella syndrome|CRS|Gregg's syndrome|rubella syndrome|
先天性风疹,Congenital rubella|
颈动脉窦性晕厥,carotid sinus syncope|
晕厥,apsychia|exanimation|faint|syncope|?swoon|apsychia|eclipsis|exanimation|faint|lipothymia|pale complexion and even syncope|swoon|apopsychia|apsychia|eclipsis|exanimation|faint|fainting|leipothymia|lipothymia|lipsis animi|shock|swoon|syncope|
杏仁油,
头痛,cephalalgia|cephalodynia|depression syndrome|headache|capitis dolor|cephalalgia|cephalea|cerebralgia|headache|angina capitis|cephalalgia|cephalea|cephalgia|cephalodynia|cerebralgia|dolor capitis|encephalalgia|H/A|HA|headache|myalgia capitis|
偏头痛,hemicrania|megrim|mgraine|migraine headache|bilious headache|blind headache|brow|brow ache|brow ague|brow pang|cephalagra|hemicrania|megrim|migraine|migraine headache|one-sided headache|sick headache|brow ache|brow pang|cephalagra|hemicrania|heterocrania|MH|migraine|migraine headache|migrainous headache|
肝功能衰竭,hepatic failure|Liver function failure|
肝功能异常,
京门,Capital Gate|Jingmen|
传导阻滞,block|blocking|conduction block|CB|conduction blockade|heart block|interruption|
右束支传导阻滞,right bundle branch block|RBBB|right bundle branch block|
四肢震颤,tremor of the four extremities|
震颤,fremitus|thrill|tremble|tremella|tremor|n. chatter|fremitus|tingle|tremble|tremella|tremor|chatter|milk sickness|thr.|thrill|Tr|trem.|tremb.|trembling|tremor|trepidatio|trepidation|
脑钙化,
肩背痛,pain of shoulder and back|pain in the shoulder and back|shoulder and back pain|painful shoulder and back|
肩臂痛,pain in the shoulder and arm|
微血栓形成,
亚硝酸钠,cevit|sodium nitrite|sodum nitrte|cevit|erinitrit|natrium nitrosum|sodium nitrite|
恶寒,aversion to cold|aversion to chill|aversion to cold|aversion to coldness|nephrasthenia asthma|
畏寒,aversion to xold|chilly|intolerance of cold|chilly sensation|intolerance of cold|intolerance of coldness|chilly|
意识模糊,clouding of consciousness|confusion|mental confusion|clouding of consciousness|clouding of consciousness|
神志不清,loss of partial consciousness|loss of partial consciousness|mental disturbance with incoherence|partial loss of consciousness|obnubilation|
散发性甲状腺肿,sporadic goiter|sporadic goiter|sporadic goiter|
软组织肿胀,
软组织肿块,
烟酸,niacin|nicorinic acid|pellagramin|vitamin pp|vitaminpp|vitaminpp|anti-black tongue factor|micotinamide|NA|NIA|niacin|nicotinamide|P-P factor|pellagra preventive factor|pellagramin|vitamin PP|VPP|
心脏瓣膜病变,
浑身酸痛,
食欲不振,impaired appetite|inappetence|poor appetite|anepithymia|cibophobia|impaired appetite|inappetence|poor appetite|anepithymia|inappetence|loss of appetite|
纳差,anorexia|anorexia|
痣细胞痣,cellular nevus|nevocellular nevus|nevocytic nevus|nevus cell nevus|
黑素细胞痣,melanocytic nevus|
眼痛,ophthalmalgia|ophthalmodynia|ophthalmalgia|ophthalmalgia|ophthalmodynia|
眼眶痛,
肌肉跳动,
呆小症,cretinism|
克汀病,cretinism|congenital myxedema|fexi|fexism|
子宫内膜增厚,
子宫内膜厚,
肺棘球蚴病,①pulmonary echinococcosis②pulmonary hydatid diseas|
包虫病,echinococciasis|echinococcosis|hydatid disease|echinococcosis|echinococcus disease|
红细胞体积增大,
红细胞升高,
咳嗽反射,cough reflex|cough reflex|CR|
咳嗽,cough|tussis|begma|bex|cough|hawk|whoop|begma|bex|cough|tus.|tuss.|tussis|tussis|
宫颈囊肿,
复杂性尿路感染,
关节肿大,arthrocele|arthrocele|arthroncus|arthroncus|arthrophyma|
关节红肿,
高钙血症,hypercalcemia|hypercalcinemia|hypercalcinemia|hypercalcemia|
高血钙症,
免疫力降低,
脑瘫,cerebral palsy|
上呼吸道感染,upper respiratory infection|upper respiratory tract infection|upper respiratory tract infection|upper respiratory infection|upper respiratory tract infection|URI|URTI|
局限型间皮瘤,
龋病,①caries②dental caries|
别嘌醇,antigut|aurigen|
献血,
捐血,
肝大,hepatomegaly|hepatomegaly|hepar auctum|hepatauxe|
肝肿大,hepatauxe|hepatomegalia|hepatomegaly|enlargement of the liver|enlargenent of the liver|hepatomegaly|hepatauxe|hepatomegalia|hepatomegaly|megalohepatia|hepatomegaly|hepatauxe|hepatomegaly|
气机不畅,functional activity of QI being not smooth|
呼吸不畅,disturbance in respiration|
淋巴结结核,evil|crewels|glandular phthisis|lymphadenitis scrofulosa|lymphoid tuberculosis|
淋巴结核,lymphoid tuberculosis|scrofula|tuberculosis of lymphnode|lymphoid tuberculosis|scrofula|crewels|
黑睛,eye black|the black part of the eye|
妊娠呕吐,vomiting of pregnancy|vomitus gravidarum|vomiting of pregnancy|vomiting pregnancy|vomiting of pregnancy|
滴虫性阴道炎,trichomonal vaginitis|trichomonas vaginitis|trichomoniasis vaginitis|TV|
牙齿疼痛,
血吸虫病,
黄疸,icterus|jaundice|icterrus|jaundice|the yellows|aurigo|choloplania|flavedo|icterus|Jaun|jaundice|morbus arcuatus|morbus regius|
脚癣,athletes foot|tinea pedis|athlete's foot|ringworm of the foot|tinea pedes|athlete's foot|dermatomycosis pedis|Hong Kong foot|t.pedis|tinea pedis|
脊髓受压,compression of spinal cord|compression of spinal cord|spinal compression|spinal cord compression|
肌萎缩,amyotrophia|amyotrophy|amyotrophy|muscular atrophy|myatrophy|myo-atrophy|myophagism|
瘟疫,infectious epidemic disease|pestilence|epidemic disease|infectious epidemic disease|infectious febrile pestilence disease|pest|plague|virulent contagious disease|lues|murrain|pest|
不典型胸痛,
基底细胞乳头瘤,basal cell papilloma|
肌肉压痛,
肌肉劳损,muscular strain|muscle strain|
背痛,backache|carbuncle on the back|dorsalgia|notalgia|backache|dorsalgia|pain of the back|dorsalgia|dorsodynia|notalgia|
低血压,hypopiesia|hypotension|low blood pressure|hypopiesia|hypopiesis|hypotension|hypopiesia|hypotension|LBP|low blood pressure|
氯沙坦,Losartan|
科素亚,
呼吸衰竭,respiratory failure|
膝盖骨,knee cap|knee pan|kneecap|kneepan|patella|she is all skin and bone|the knee cap|kneepan|patella|she is all skin and bone|the knee cap|knee cap|knee pan|
色素痣,epichrosis spilus|naevus pigmentosus|pigmented nevus|pigmented mole|pigmented naevus|pigmented nevus|PN|
口干舌燥,
气合,
酮症酸中毒,ketoacidosis|
酮症,ketosis|ketosis|
周期性麻痹,periodic paralysis|periodic paralysis|PP|
急性上呼吸道感染,acute upper respiratory infection|acute throat infection|acute upper respiratory infection|
头晕,dizziness|have a sensation of dizziness|vertigo|be light in the had|be light in the head|dizziness|giddiness|have a sensation of dizziness|vertigines|vertigo|vertogoes|dizziness|lightheadedness|
宫外孕,ectopic pregnancy|exfetation|extrauterine pregnancy|eccyesisk|ectopic pregnancy|ectopic pregnancy|EP|EUP|extrauterine pregnancy|gestation,extra-uterine|GEU|metacyesis|
贫血,anemia|hemopthisis|hyphemia|anaemia|anemia|hemophthisis|hypemia|hyphemia|hypoemia|hypohemia|
肉芽肿性动脉炎,granulomatous arteritis|
维尔斯,
先天性喉喘鸣,congenital laryngeal stridor|
骨脆,
骨痛,bone ache|ostealgia|osteodynia|bone ache|osteodynia|ache,bone|bone ache|ostalgia|ostealgia|osteodynia|
呼吸不畅,disturbance in respiration|
咳嗽反射,cough reflex|cough reflex|CR|
咳嗽明显,
色素,pigment|pigments|pigment|chrom-|colorant|coloring material|coloring matter|colourant|pig.|pigm.|pigmented|pigments|pigmentum|stain|
神经纤维,fibre|nerve fiber|nerve fibre|neurofibra|
呼吸困难,breathe hard|breathe with difficulty|dyspnea|dyspneic|lose one's breath|anhelation|Dp|dysp.|dyspnea|dyspneic respiration|dyspnoea|embarrassment|
稀便,Loose stools|
风湿性多发性肌痛症,
风湿性多肌痛,polymyalgia rheumatica|polymyalgia rheumatica|PR|
消化道穿孔,
上消化道出血,hemorrhage of upper digestive tract|upper gastrointestinal bleeding|bleeding of the upper digestive tract|hemorrhage of upper digestive tract|UGB|UGIH|upper gastrointestinal bleeding|upper gastrointestinal hemorrhage|
风湿性多发性肌痛症,
反射性呕吐,reflex vomiting|reflex vomiting|reflex vomiting|
呕吐严重,severe vomiting|
泌尿系统感染,
慢性肾小球肾炎,chronic glomerulonephritis|CG|CGN|
脑血栓,cerebral thrombosis|cerebral thrombosis|
多发性结节,multiple nodes|
结节病,La Verruga disease|nodular worm disease|nodule disease|sarcoid|
高热不退,
潮热,afternoon fever|afternoonfever|hectic fever|hecticfever|recurring fever|tidal fever or afternoon fever|afternoonfever|hectic fever|recurring fever|tidal fever|tidal fever or afternoon fever|hectic fever|
红细胞增多症,polycyth emia|globulism|polycyth emia|myelopathic polycythemia|chronic splenomegalic polycythemia|erythrocythemia|primary polycythemia|rubra polycythemia|splenomegalic polycythemia|vera polycythemia|
